Id_usuario,Ds_login,Ds_senha,Dt_cadastro
11,adamay_shasta,123456,2022-06-29 13:37:57
6,chagas27,123456,2022-06-29 13:34:59
5,gabriel_chagas,123456,2022-06-29 13:34:59
1,gchagas09,123456,2022-06-29 13:33:27
3,gmotta66,123456,2022-06-29 13:34:58
7,gularte.chagas,123456,2022-06-29 13:36:58
2,highdragon15,123456,2022-06-29 13:34:58
15,kaliadronoch,khalmyr,2022-07-04 10:13:33
8,orion.drake,123456,2022-06-29 13:37:07
4,o_bolotta,123456,2022-06-29 13:34:59
13,phillipe_lamayer,@lun0,2022-07-04 09:12:14
14,professor,pr0f3ss0r,2022-07-04 09:27:35
9,shivara.shapleblade,123456,2022-06-29 13:37:41
10,talude.theMage,654321,2022-06-29 13:37:41
